Year,App.,Family,Taxon,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2003,II,Elephantidae,Loxodonta africana,AE,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,AR,BW,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,AR,ZW,,,1,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,AT,NA,,,10,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,AT,NA,,6,,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,AT,NA,,6,,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,AT,ZA,BW,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,AT,ZW,,,1,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,AT,ZW,,2,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,AT,ZW,,8,,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,AT,ZW,,,24,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,AU,ZA,BW,,2,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,AU,ZA,XX,,1,ivory carvings,sets,P,O
2003,II,Elephantidae,Loxodonta africana,AU,ZA,,,5,ivory carvings,sets,P,O
2003,II,Elephantidae,Loxodonta africana,AU,ZA,,,1,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,AU,ZA,,,6,tusks,,P,O
2003,II,Elephantidae,Loxodonta africana,AU,ZA,,,3,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,AU,ZW,,,5,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,AU,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,BE,NA,,2,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,BE,ZW,,,1,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,BR,ZA,BW,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,CA,US,XX,8,,ivory carvings,sets,Q,O
2003,II,Elephantidae,Loxodonta africana,CA,US,ZA,,2,tusks,,H,I
2003,II,Elephantidae,Loxodonta africana,CA,ZA,,,1,ivory carvings,sets,P,O
2003,II,Elephantidae,Loxodonta africana,CA,ZA,,1,12,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,CA,ZA,,,2,ivory pieces,,P,O
2003,II,Elephantidae,Loxodonta africana,CA,ZA,,,2,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,CA,ZW,,1,,ivory carvings,,H,W
2003,II,Elephantidae,Loxodonta africana,CA,ZW,,2,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,CA,ZW,,,4,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,CH,FR,ZW,,2,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,CH,ZA,TZ,,1,tusks,,P,O
2003,II,Elephantidae,Loxodonta africana,CH,ZA,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,CH,ZW,,,1,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,CH,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,CL,ES,ZW,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,CL,ZW,,,1,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,CN,AU,ZW,,2,tusks,,,W
2003,II,Elephantidae,Loxodonta africana,CN,BW,,2,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,CN,ZW,,28,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,CN,ZW,,,196,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,CN,ZW,,,25,tusks,kg,T,W
2003,II,Elephantidae,Loxodonta africana,CN,ZW,,,6,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,CO,ZW,,,3,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,CS,ZW,,,3,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,CU,ZW,,,4,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,CY,ZW,,,1,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,DE,BW,,2,8,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DE,NA,,,7,ivory carvings,,P,O
2003,II,Elephantidae,Loxodonta africana,DE,NA,,17,17,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DE,ZA,BW,,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DE,ZA,ZM,,3,tusks,,P,O
2003,II,Elephantidae,Loxodonta africana,DE,ZA,ZW,4,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DE,ZA,,3,1,tusks,,P,O
2003,II,Elephantidae,Loxodonta africana,DE,ZA,,,2,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,DE,ZW,,,10,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,DE,ZW,,31,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DE,ZW,,,29,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,DK,BW,,,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DK,NA,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DK,ZA,BW,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,DK,ZW,,,11,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,EE,ZA,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ES,BW,,2,58,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ES,NA,,,14,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ES,ZA,BW,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ES,ZA,XX,1,,tusks,,,I
2003,II,Elephantidae,Loxodonta africana,ES,ZA,,,2,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,ES,ZA,,,24,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ES,ZA,,5,4,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,ES,ZW,,,31,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,ES,ZW,,,62,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,FI,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,FR,BW,,,6,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,FR,TD,,2,,tusks,,P,O
2003,II,Elephantidae,Loxodonta africana,FR,ZA,,,1,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,FR,ZW,,,17,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,FR,ZW,,2,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,FR,ZW,,,12,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,GB,BW,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,GB,ZA,,,2,ivory carvings,sets,P,O
2003,II,Elephantidae,Loxodonta africana,GB,ZA,,,18,ivory carvings,,P,O
2003,II,Elephantidae,Loxodonta africana,GB,ZA,,,3,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,GB,ZA,,,1,ivory carvings,,T,O
2003,II,Elephantidae,Loxodonta africana,GB,ZA,,,2,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,GB,ZA,,1,,ivory carvings,,,I
2003,II,Elephantidae,Loxodonta africana,GB,ZW,BW,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,GB,ZW,,,4,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,GB,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,GR,LB,XX,4,,ivory pieces,,Q,O
2003,II,Elephantidae,Loxodonta africana,GR,TN,XX,1,,ivory pieces,,Q,W
2003,II,Elephantidae,Loxodonta africana,HR,ZW,,,6,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,IL,ZW,,,3,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,IT,BW,,,10,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,IT,NA,,,6,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,IT,ZA,,,49,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,IT,ZA,,,2,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,IT,ZW,,,3,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,IT,ZW,,,42,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,JP,ZW,,,3,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,LB,ZW,,,2,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,LB,ZW,,,10,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,MC,ZW,BW,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,MU,ZW,,2,,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,MX,BW,,2,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,MX,BW,,2,,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,MX,ZA,,2,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,MX,ZW,,,1,ivory carvings,pairs,T,W
2003,II,Elephantidae,Loxodonta africana,MX,ZW,,4,31,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,MX,ZW,,16,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,MX,ZW,,,10,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,MY,ZA,,,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,NA,BW,,2,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,NA,CH,NA,3,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,NO,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,BW,,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,,,3,ivory carvings,sets,P,O
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,,10,,ivory carvings,,P,I
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,,4,47,ivory carvings,,P,O
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,,64,8,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,,1,,ivory carvings,,,I
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,,1,,ivory pieces,,,I
2003,II,Elephantidae,Loxodonta africana,NZ,ZA,,,1,tusks,,P,O
2003,II,Elephantidae,Loxodonta africana,NZ,ZW,,,3,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,PE,ZW,,,2,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,PL,ZA,KE,1,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,PL,ZA,ZW,,2,ivory carvings,,P,O
2003,II,Elephantidae,Loxodonta africana,PL,ZA,ZW,1,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,PL,ZW,,,3,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,PL,ZW,,,1,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,PT,BW,,4,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,PT,NA,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,PT,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,RO,ZW,,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,RU,BW,,,6,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,RU,NA,,,6,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,RU,ZA,ZW,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,RU,ZW,,,1,ivory carvings,sets,T,W
2003,II,Elephantidae,Loxodonta africana,RU,ZW,,,22,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,RU,ZW,,,5,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,SE,ZA,,1,,ivory pieces,,P,W
2003,II,Elephantidae,Loxodonta africana,SE,ZA,,2,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,SE,ZA,,,2,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,SK,ZW,,2,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,TR,ZA,BW,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,TW,ZW,,,21,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,US,BW,,2,,ivory carvings,,P,I
2003,II,Elephantidae,Loxodonta africana,US,BW,,14,87,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,DE,ZW,,2,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,US,FR,ZA,,10,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,US,GB,ZA,4,,ivory pieces,,P,O
2003,II,Elephantidae,Loxodonta africana,US,IL,ZA,1,,tusks,,P,I
2003,II,Elephantidae,Loxodonta africana,US,NA,,6,21,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,BW,3,18,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,BW,2,,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,NA,,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,TZ,,4,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,XX,,1,ivory carvings,,T,O
2003,II,Elephantidae,Loxodonta africana,US,ZA,ZM,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,ZW,4,24,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,ZW,,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,,6,12,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZA,,,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,11,ivory carvings,pairs,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,6,,ivory carvings,,P,I
2003,II,Elephantidae,Loxodonta africana,US,ZW,,1,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,68,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,2,tusks,kg,T,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,16,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,US,ZW,,2,,tusks,,P,I
2003,II,Elephantidae,Loxodonta africana,US,ZW,,,175,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,XX,ZW,,,1,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,ZA,BW,,2,,ivory carvings,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,BW,,30,63,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,GB,XX,2,,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,NA,,6,6,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,NA,,1,1,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZA,,,2,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,MZ,,2,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,17,,ivory carvings,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,,7,ivory carvings,,T,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,42,,tusks,,H,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,2,,tusks,,P,W
2003,II,Elephantidae,Loxodonta africana,ZA,ZW,,,31,tusks,,T,W
2003,II,Elephantidae,Loxodonta africana,ZM,ZW,,25.8,,tusks,kg,H,
2003,II,Elephantidae,Loxodonta africana,ZW,US,ZW,,2,tusks,,L,I
